Year,Quarter,Plantation Forest
2001,1,4531
2001,2,4972
2001,3,4901
2001,4,4821
2002,1,4538
2002,2,5192
2002,3,5502
2002,4,5385
2003,1,4804
2003,2,5634
2003,3,5796
2003,4,5823
2004,1,5183
2004,2,5694
2004,3,5409
2004,4,4934
2005,1,4842
2005,2,4906
2005,3,5205
2005,4,4832
2006,1,4333
2006,2,4892
2006,3,5024
2006,4,4754
2007,1,4133
2007,2,4884
2007,3,5184
2007,4,5140
2008,1,4688
2008,2,5282
2008,3,5341
2008,4,4988
2009,1,4776
2009,2,4776
2009,3,5182
2009,4,4652
2010,1,4238
2010,2,5344
2010,3,5752
2010,4,5401
2011,1,5446
2011,2,6252
2011,3,6334
2011,4,6356
2012,1,6091
2012,2,6861
2012,3,6749
2012,4,6333
2013,1,6028
2013,2,7307
2013,3,6689
2013,4,7287
2014,1,6747
2014,2,7557
2014,3,7924
2014,4,8024
